year,county_code,D,D1,D2,reform_year,D1_year,D2_year,gdp_growth_pc,ln_gdppc,gdppc,ln_fiscal_exp_pc,ln_fiscal_rev_pc,fiscal_autonomy,transfer_dependence,fiscal_exp_pc,fiscal_rev_pc,primary_ratio,secondary_ratio,tertiary_ratio,ln_pop,gov_scale,high_development,high_agriculture,is_county_city,region,region_east,region_central,region_west,relative_time,event_m6plus,event_m5,event_m4,event_m3,event_m2,event_m1,event_0,event_p1,event_p2,event_p3,event_p4,event_p5,event_p6,event_p7,event_p8,event_p9,event_p10plus
2002,411723,0,0,0,,,,7.038012796386902,7.952966790923131,2844.0,5.717252477333666,4.62577857715535,0.3357213091726366,0.6642786908273635,304.0683395621997,102.0822210357715,37.8611009747234,38.26250192800364,23.876397097272957,4.539564428890097,10.712552526343114,0,1,0,中部,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,411723,0,0,0,,,,5.063291139240507,8.002359546252707,2988.0,5.738270454786684,4.556422596750546,0.30671145540549805,0.693288544594502,310.52687599787123,95.2421500798297,29.405301273589956,43.865363347722166,26.72933537868788,4.5427627258594745,10.40776283400521,0,1,0,中部,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,411723,0,0,0,,,,29.250334672021417,8.258940462988459,3862.0,5.832796190466634,4.48244808189885,0.259150032595536,0.740849967404464,341.3117185844459,88.45094299639754,40.68465951279611,36.515540692909745,22.799799794294138,4.547329186298241,8.858827476583082,0,1,0,中部,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,411723,0,0,0,,,,16.908337648886587,8.415160465851086,4515.0,6.126009437769229,4.23189319449076,0.150451238603923,0.849548761396077,457.606405394016,68.84745048461862,36.843324496151965,37.44749754891064,25.709177954937395,4.553034431567563,10.163772548267156,0,1,0,中部,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,411723,0,0,0,,,,14.529346622369879,8.550821372396221,5171.0,6.386171673905101,4.523590198995668,0.1552712836347596,0.8447287163652404,593.5798072894847,92.16589861751152,34.0261006448992,39.13288985934088,26.841009495759916,4.558916801470629,11.511704666632813,0,1,0,中部,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,411723,0,0,0,,,,36.5306517114678,8.862200330487287,7060.0,6.685705107622218,4.936329611640916,0.17388249986990686,0.8261175001300931,800.875182329652,139.25817878724735,31.067609001520857,39.879144741657655,29.05324625682149,4.564139836430099,12.503232837496034,0,1,0,中部,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,411723,0,0,0,,,,20.35410764872521,9.047468439003541,8497.0,6.915578704408905,5.217419459599832,0.18302010938849364,0.8169798906115063,1007.854108382551,184.45756916381723,28.434917075601483,42.06991431326032,29.495168611138194,4.569646629919045,13.170951003650625,0,1,0,中部,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,411723,0,0,0,,,,15.134753442391432,9.18840146445743,9783.0,7.152646399993711,5.435893819785159,0.17964859607919098,0.8203514039208091,1277.4822146613053,229.49788638003918,27.51920290335131,42.90561578775567,29.57518130889302,4.574607880405451,14.924242332991655,0,1,0,中部,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,411723,0,0,0,,,,29.58192783399775,9.447544606938727,12677.0,7.40064551067455,5.72441842144528,0.18707847659415322,0.8129215234058468,1637.0408163265306,306.2551020408163,28.597626601623016,42.26881813098385,29.13355526739313,4.584967478670572,16.07685786265876,0,1,0,中部,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,411723,0,0,0,,,,26.44158712629171,9.68215486062588,16029.0,7.628072824896184,5.99260475474928,0.1948611412668022,0.8051388587331978,2055.085691106379,400.45634317006386,26.99653878605572,43.844635963822114,29.158825250122167,4.591172676344238,17.132924480606547,0,1,0,中部,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,411723,0,0,0,,,,13.856135753945972,9.811920359010637,18250.0,7.805493540234527,6.092377751187245,0.18030312998569056,0.8196968700143095,2454.0464177598387,442.47225025227044,26.51439431799252,44.82743476746475,28.65817091454273,4.596129441335942,18.41473202792543,0,1,0,中部,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,411723,0,0,0,,,,12.586301369863016,9.930470223866015,20547.0,7.888452746202064,6.230564453335572,0.19054092218477586,0.8094590778152242,2666.3152610441766,508.0421686746988,24.955143571052652,45.860643995402256,29.184280166922132,4.601162164590552,17.987614274673746,0,1,0,中部,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,411723,0,0,0,,,,12.32783374701903,10.046721720622037,23080.0,7.987943809456799,6.372644468773978,0.1988311432816178,0.8011688567183822,2945.2347652347653,585.6043956043956,22.25242950771726,44.02004517597238,33.72752531631036,4.6061696863211745,17.81526193724915,0,1,0,中部,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,411723,0,0,0,,,,6.230502599653379,10.10716282065494,24518.0,8.11007794499941,6.480939834866417,0.19609851663595612,0.8039014833640439,3327.8374080699664,652.5839793281654,21.47010021109347,43.03764130492284,35.49225848398369,4.611351045063173,19.04716127347782,0,1,0,中部,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,411723,0,0,0,,,,9.24626804796476,10.19559730831506,26785.0,8.14257658889544,6.562080249531078,0.20587289002263665,0.7941271099773634,3437.764171439858,707.7424451905985,19.926787460597957,42.26446249196103,37.80875004744102,4.617691466541763,18.09818965073532,0,1,0,中部,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,411723,0,0,0,,,,10.54321448571962,10.29583364815114,29609.0,8.289192980463438,6.667419327127554,0.19754800649129645,0.8024519935087036,3980.6204594541528,786.3636363636364,17.707287636754256,43.29961003381083,38.99310232943492,4.623599321456458,19.011426098429773,0,1,0,中部,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
