year,county_code,D,D1,D2,reform_year,D1_year,D2_year,gdp_growth_pc,ln_gdppc,gdppc,ln_fiscal_exp_pc,ln_fiscal_rev_pc,fiscal_autonomy,transfer_dependence,fiscal_exp_pc,fiscal_rev_pc,primary_ratio,secondary_ratio,tertiary_ratio,ln_pop,gov_scale,high_development,high_agriculture,is_county_city,region,region_east,region_central,region_west,relative_time,event_m6plus,event_m5,event_m4,event_m3,event_m2,event_m1,event_0,event_p1,event_p2,event_p3,event_p4,event_p5,event_p6,event_p7,event_p8,event_p9,event_p10plus
2008,340323,1,0,1,2004.0,,2004.0,14.092169831448686,9.277531621516506,10695.0,7.135331843150015,5.401266397159971,0.17656513285806869,0.8234348671419314,1255.5535664881932,221.6869822774098,38.60316494217894,27.693244065733413,33.70359099208765,4.1181750146412925,11.739196591600729,0,1,0,中部,0,1,0,4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2009,340323,1,0,1,2004.0,,2004.0,0.43945769050958394,9.281916570465405,10742.0,7.410343679958248,5.700170902932841,0.18083454586291417,0.8191654541370859,1652.9943502824858,298.91848264729623,39.981894990947495,28.545564272782137,31.45745322872661,4.126327608075152,15.450060350030176,0,1,0,中部,0,1,0,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,340323,1,0,1,2004.0,,2004.0,22.174641593744184,9.482197894080992,13124.0,7.598840751430393,6.166397323803086,0.23872490200783938,0.7612750979921606,1995.8808314972698,476.4664559185107,38.23853211009175,33.13761467889908,28.623853211009177,4.1373082616542165,15.291743119266055,0,1,0,中部,0,1,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011,340323,1,0,1,2004.0,,2004.0,22.051203901249618,9.681468368883628,16018.0,8.013379680926587,6.737269967103757,0.27912105180451524,0.7208789481954847,3021.1102671224207,843.25547537663,36.78674208593827,36.32033343256922,26.892924481492507,4.146177710862118,18.945122556316363,0,1,0,中部,0,1,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012,340323,1,0,1,2004.0,,2004.0,14.383818204519915,9.815857802575154,18322.0,8.130672932716116,6.960285346110554,0.3102466705054145,0.6897533294945855,3397.08480565371,1053.9342503785967,34.5722662987237,39.039323904794756,26.388409796481543,4.14933767051614,18.570886512590548,0,1,0,中部,0,1,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013,340323,1,0,1,2004.0,,2004.0,12.973474511516208,9.937840668907791,20699.0,8.259270172560193,6.9883995698647015,0.2805872354086324,0.7194127645913676,3863.273548305031,1083.985244546206,33.52716143840857,40.01530221882173,26.4575363427697,4.141418969608029,18.58982402448355,0,1,0,中部,0,1,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,340323,1,0,1,2004.0,,2004.0,10.66718198946809,10.039197819688574,22907.0,8.312196722257822,7.441678730495221,0.41873459199208635,0.5812654080079136,4073.250964035571,1705.6110805068072,32.6243093922652,40.607734806629836,26.774861878453038,4.151590935156498,17.872513812154697,0,1,0,中部,0,1,0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,340323,1,0,1,2004.0,,2004.0,17.348408783341338,10.199174996326047,26881.0,8.519309977000708,7.57428186688187,0.3886686452263873,0.6113313547736128,5010.595137783604,1947.4612239802766,29.586661225441613,38.94362502186207,31.46971375269632,4.160225931335614,18.720282166384887,0,1,0,中部,0,1,0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,340323,1,0,1,2004.0,,2004.0,9.746661210520442,10.292179440058462,29501.0,8.548340413783288,7.730422967012701,0.4413498326159732,0.5586501673840267,5158.186864014801,2276.5649090348443,28.769716088328074,38.40694006309148,32.82334384858044,4.172231100879172,17.589905362776026,0,1,0,中部,0,1,0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,340323,1,0,1,2004.0,,2004.0,12.125012711433511,10.406623687817738,33078.0,8.647998265645848,7.850691672484775,0.45054082110143556,0.5494591788985644,5698.727969348659,2567.5095785440612,26.516102049351737,37.18109577582601,36.302802174822254,4.178226046202803,17.279706306055115,0,1,0,中部,0,1,0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2018,340323,1,0,1,2004.0,,2004.0,11.019408670415382,10.511158540743622,36723.0,8.647861774652581,7.535095799906196,0.32864866881447075,0.6713513311855293,5697.9501973884,1872.6237473428484,26.572915628219185,37.82096334695776,35.60628717641976,4.187531276948218,15.587802811285018,0,1,0,中部,0,1,0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,340323,1,0,1,2004.0,,2004.0,22.675162704572067,10.715528263036484,45050.0,8.709702818121194,8.019158593857457,0.5013031734640991,0.49869682653590086,6061.440869959221,3038.619543875548,24.249383506202587,41.12030436103813,34.630312132759286,4.192831508936755,13.490524685299077,0,1,0,中部,0,1,0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020,340323,1,0,1,2004.0,,2004.0,38.32852386237514,11.039989540746648,62317.0,8.720260663988741,7.764036447758959,0.38434133952257904,0.615658660477421,6125.77564913549,2354.38881860353,26.415242093236348,40.17808973167792,33.40666817508573,4.195636813703973,13.053505549858865,0,1,0,中部,0,1,0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,340323,1,0,1,2004.0,,2004.0,-5.213665612914614,10.986444601593664,59068.0,8.761341104540737,7.847633105151823,0.40103442824479896,0.598965571755201,6382.665662650603,2559.6686746987953,28.859226868833982,32.13196520081845,39.00884172252231,4.1956970564823886,14.321427786967373,0,1,0,中部,0,1,0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022,340323,1,0,1,2004.0,,2004.0,1.8588745175052483,11.004862687693166,60166.0,8.871773215268682,7.833558201935865,0.3540861572733727,0.6459138427266273,7127.909090909091,2523.8939393939395,29.822692062056948,30.510593435904305,39.666714502038744,4.189654742026425,15.591525251276558,0,1,0,中部,0,1,0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023,340323,1,0,1,2004.0,,2004.0,,,,8.846045561360114,7.854910227222921,0.37115506670767057,0.6288449332923294,6946.863636363636,2578.3636363636365,28.10348455558593,27.635245555072657,44.26126988934141,4.189654742026425,15.027600732348608,0,1,0,中部,0,1,0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2000,340421,0,0,0,2004.0,,2004.0,,8.511175119090675,4970.0,5.424988772915242,5.245711279972253,0.8358739180984369,0.16412608190156308,227.00879765395894,189.7507331378299,31.09335270613876,31.674536868870323,37.1957864148202,4.222444564849416,5.623683254631311,1,0,0,中部,0,1,0,-4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,340421,0,0,0,2004.0,,2004.0,2.7364185110663986,8.53817159780143,5106.0,5.574505584678126,5.288311074826763,0.7511165021778684,0.2488834978221316,263.61918604651163,198.00872093023256,29.225963207219714,31.898646303366885,38.840680319333565,4.231203744939298,6.295383547379382,1,0,0,中部,0,1,0,-3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,340421,0,0,0,2004.0,,2004.0,11.26126126126126,8.644882552557126,5681.0,5.858221713135007,5.455925266759153,0.6687824581650318,0.3312175418349682,350.1010101010101,234.14141414141415,29.213135068153655,33.30235439900868,37.484510532837675,4.238444906195857,7.5161090458488236,1,0,0,中部,0,1,0,-2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2003,340421,0,0,0,2004.0,,2004.0,17.127266326350995,8.802973456578423,6654.0,6.142496506155532,5.526346851264558,0.540019702007142,0.459980297992858,465.21353077650167,251.22447225961682,23.458409866176858,41.43269483075308,35.10889530307006,4.2460064332467695,8.523747048018892,1,0,0,中部,0,1,0,-1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2004,340421,1,0,1,2004.0,,2004.0,27.547339945897203,9.046290859969677,8487.0,6.484094620515545,5.841959137753123,0.5261676016076686,0.4738323983923314,654.6459927960378,344.45351193156233,27.35234215885947,41.425661914460285,31.221995926680247,4.263693447712017,9.475967413441955,1,0,0,中部,0,1,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2005,340421,1,0,1,2004.0,,2004.0,33.61611876988335,9.336091577281744,11340.0,6.590054777044507,6.072683402140051,0.59608537537366,0.40391462462634,727.8207366758127,433.8432970261356,20.909636745722004,52.296607625337735,26.808766136295407,4.278913591556535,7.883668567997598,1,0,0,中部,0,1,0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2006,340421,1,0,1,2004.0,,2004.0,13.350970017636685,9.461410325931231,12854.0,6.8220778757313125,6.319162135877052,0.6047647498132935,0.39523525018670647,917.8902918877419,555.1076927295412,19.93514915693904,53.63164721141375,26.433203631647213,4.289623475388006,8.683527885862516,1,0,0,中部,0,1,0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2007,340421,1,0,1,2004.0,,2004.0,23.587988174887194,9.673193497193077,15886.0,7.1190112719574685,6.588320267784182,0.5881983816810701,0.4118016183189299,1235.2285244162802,726.559419067952,18.48704663212435,57.84455958549223,23.668393782383422,4.297788680915377,9.412953367875648,1,0,0,中部,0,1,0,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2008,340421,1,0,1,2004.0,,2004.0,34.61538461538461,9.970445020661009,21385.0,7.421324728509382,6.92058816107858,0.6060840734735364,0.39391592652646357,1671.245989160622,1012.9155768867796,13.34761977651921,66.89882136843717,19.753558855043625,4.30641368445473,9.487448339200979,1,0,0,中部,0,1,0,4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2009,340421,1,0,1,2004.0,,2004.0,12.04115033902268,10.084141052229386,23960.0,7.72116460398947,7.201225675213808,0.5945568571766655,0.4054431428233345,2255.584914724958,1341.073477993968,12.514531901798536,67.87252957669425,20.228407303562882,4.3166077261090035,11.558503727005402,1,0,0,中部,0,1,0,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,340421,1,0,1,2004.0,,2004.0,15.580133555926546,10.22893495265826,27693.0,7.848168821210564,7.391603201717028,0.6334554410044773,0.36654455899552274,2561.0402976803102,1622.3049111973187,11.949063844633097,69.63018955692523,18.420746598441678,4.327913579019893,11.285672752645656,1,0,0,中部,0,1,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011,340421,1,0,1,2004.0,,2004.0,12.360524320225327,10.345477435326664,31116.0,8.00112505750157,7.517288395122724,0.6164138772663877,0.38358612273361226,2984.3136234749354,1839.5723316250878,12.314441667091772,69.19349079222567,18.49716880069377,4.342271778891822,11.704330969749527,1,0,0,中部,0,1,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012,340421,1,0,1,2004.0,,2004.0,8.455456999614347,10.426646803460935,33747.0,8.332861762065297,7.842972271061055,0.6126940986529195,0.38730590134708054,4158.300607851524,2547.7662428554763,12.150487691593126,68.72271249419416,19.13144449605202,4.3458423070328385,14.902090106827682,1,0,0,中部,0,1,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013,340421,1,0,1,2004.0,,2004.0,2.542448217619344,10.451753459275963,34605.0,8.517794483174887,8.087849104421124,0.6505446273111682,0.34945537268883176,5003.007362853884,3254.6795603028104,12.859201873705073,66.5345464372579,20.61075578776687,4.345673805208083,17.383659129808127,1,0,0,中部,0,1,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,340421,1,0,1,2004.0,,2004.0,3.3607860135818526,10.484808917913817,35768.0,8.497433319581505,7.697457363295512,0.44933976778420975,0.5506602322157903,4902.170374389582,2202.7400976668473,13.139045572566927,64.91628614916286,21.944668278270214,4.300274132801622,16.17817172531113,1,0,0,中部,0,1,0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,340421,1,0,1,2004.0,,2004.0,-0.17333929769626483,10.483074020872907,35706.0,8.422353514196114,7.753132870817199,0.5121075367001475,0.4878924632998525,4547.593696763202,2328.8570059625213,13.186863380989358,60.617548988261085,26.20015530078107,4.319299804765577,15.607180377289545,1,0,0,中部,0,1,0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,340421,1,0,1,2004.0,,2004.0,3.2571556601131464,10.515126368538702,36869.0,8.452494081670782,7.975662966820903,0.6207473554517099,0.3792526445482901,4686.747301339576,2909.28599297698,14.106447425356988,58.64560796192124,27.252271743833838,4.342375829044089,15.593422760709649,1,0,0,中部,0,1,0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,340421,1,0,1,2004.0,,2004.0,10.681059969079715,10.616608914303491,40807.0,8.66952230062542,8.006153658626584,0.5151131766386294,0.48488682336137057,5822.717176702862,2999.358341559723,12.597806147280147,61.0909363183707,26.311257534349146,4.394942859940428,17.665867994459212,1,0,0,中部,0,1,0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2018,340421,1,0,1,2004.0,,2004.0,-1.3772146935574778,10.602741051527834,40245.0,8.699605648255828,8.2445175332346,0.6343920660150003,0.3656079339849997,6000.545425063019,3806.6984094225863,13.1480664046577,59.04720494795932,27.803259712779216,4.217107768807726,14.948576271858666,1,0,0,中部,0,1,0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,340421,1,0,1,2004.0,,2004.0,9.280655982109579,10.691490264108753,43980.0,8.693655617073384,8.286898011168791,0.6658055580794005,0.33419444192059955,5964.948000585909,3971.4955324447046,11.997713321173798,50.87883776307749,37.12344891574871,4.223470431430189,13.60603971884943,1,0,0,中部,0,1,0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020,340421,1,0,1,2004.0,,2004.0,27.85129604365621,10.937187917027094,56229.0,8.620671230478264,7.953479035591239,0.5131473747330549,0.48685262526694506,5545.10718973312,2845.4571970249385,12.555515199027608,49.60277516332135,37.84170963765105,4.227855121296273,12.430435389543838,1,0,0,中部,0,1,0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,340421,1,0,1,2004.0,,2004.0,12.289032349855058,11.053093924165847,63139.0,8.601649390171254,8.071333581097193,0.5884191122371719,0.4115808877628281,5440.625909752547,3201.3682678311498,11.945296917111447,52.188928446754964,35.86577463613359,4.229749199228304,10.98301819596541,1,0,0,中部,0,1,0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022,340421,1,0,1,2004.0,,2004.0,2.7764139438381985,11.08047962853029,64892.0,8.749737058671121,8.33838891997641,0.6627561603682782,0.3372438396317218,6309.028985507246,4181.347826086957,12.229139392881965,51.76470115584411,36.00615945127393,4.23410650459726,12.492316469071026,1,0,0,中部,0,1,0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023,340421,1,0,1,2004.0,,2004.0,,,,8.824848379614018,8.406634000849174,0.6582211046709854,0.3417788953290146,6801.159420289855,4476.666666666667,11.543289621387212,50.47257336257401,37.98410888918328,4.23410650459726,13.199370745988901,1,0,0,中部,0,1,0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2000,340422,0,0,0,2004.0,,2004.0,,,,,,,,,,,,,,,0,0,0,中部,0,1,0,-4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,340422,0,0,0,2004.0,,2004.0,,,,,,,,,,,,,,,0,0,0,中部,0,1,0,-3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,340422,0,0,0,2004.0,,2004.0,,,,,,,,,,,,,,,0,0,0,中部,0,1,0,-2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2003,340422,0,0,0,2004.0,,2004.0,,,,,,,,,,,,,,,0,0,0,中部,0,1,0,-1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2004,340422,1,0,1,2004.0,,2004.0,,,,,,,,,,,,,,,0,0,0,中部,0,1,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2005,340422,1,0,1,2004.0,,2004.0,,,,,,,,,,,,,,,0,0,0,中部,0,1,0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2006,340422,1,0,1,2004.0,,2004.0,,,,,,,,,,,,,,,0,0,0,中部,0,1,0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2007,340422,1,0,1,2004.0,,2004.0,,,,,,,,,,,,,,,0,0,0,中部,0,1,0,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2008,340422,1,0,1,2004.0,,2004.0,,,,,,,,,,,,,,,0,0,0,中部,0,1,0,4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2009,340422,1,0,1,2004.0,,2004.0,,,,,,,,,,,,,,,0,0,0,中部,0,1,0,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,340422,1,0,1,2004.0,,2004.0,,,,,,,,,,,,,,,0,0,0,中部,0,1,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011,340422,1,0,1,2004.0,,2004.0,,,,,,,,,,,,,,,0,0,0,中部,0,1,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012,340422,1,0,1,2004.0,,2004.0,,,,,,,,,,,,,,,0,0,0,中部,0,1,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013,340422,1,0,1,2004.0,,2004.0,,9.027378610294805,8328.0,,,,,,,,,,,,0,0,0,中部,0,1,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,340422,1,0,1,2004.0,,2004.0,6.123919308357348,9.086815885690685,8838.0,,,,,,,,,,,,0,0,0,中部,0,1,0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,340422,1,0,1,2004.0,,2004.0,6.392849060873501,9.148784066277077,9403.0,,,,,,,,,,,,0,0,0,中部,0,1,0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,340422,1,0,1,2004.0,,2004.0,9.369350207380624,9.23834456838578,10284.0,8.204647271574062,6.791954078792641,0.24348664285197547,0.7565133571480245,3657.9101702188527,890.6522672006867,31.112671112671116,28.248508248508248,40.63882063882064,4.940355881083839,35.9037557037557,0,0,0,中部,0,1,0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,340422,1,0,1,2004.0,,2004.0,13.866199922209258,9.368198456591763,11710.0,8.322698593690724,7.046954348264094,0.27922308037063676,0.7207769196293632,4116.253128351806,1149.3528780836612,27.488701600097716,33.1195798216685,39.391718578233785,4.940570419647969,35.15683400513009,0,0,0,中部,0,1,0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2018,340422,1,0,1,2004.0,,2004.0,9.137489325362939,9.455636727931525,12780.0,8.429941667044766,6.8148171654317125,0.1988659097729319,0.801134090227068,4582.232789984818,911.2498925716907,25.51823503027459,35.02327500908546,39.46084182009283,4.938981743282087,35.82710697208735,0,0,0,中部,0,1,0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,340422,1,0,1,2004.0,,2004.0,19.115805946791863,9.630562721059254,15223.0,8.611321495515373,7.429280875314329,0.3066523387392638,0.6933476612607362,5493.503523391604,1684.5957033204213,23.45974448326828,28.03996531702262,48.5002901997091,4.941085124490408,36.123965796380844,0,0,0,中部,0,1,0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020,340422,1,0,1,2004.0,,2004.0,72.83058529856139,10.177704374034338,26310.0,8.697588181801517,7.126142141581975,0.20774455806564296,0.792255441934357,5988.451729375018,1244.0682580164485,24.89864252744276,25.308916049103658,49.79248627189277,4.938695226748123,37.48952788945039,0,0,0,中部,0,1,0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,340422,1,0,1,2004.0,,2004.0,10.440896997339415,10.277014697108353,29057.0,8.571111536981205,7.221533212722264,0.259349599025963,0.740650400974037,5276.992103374013,1368.5857860732233,24.124493667640877,25.875034610059988,50.000512741629485,4.93662988078576,30.152694457262985,0,0,0,中部,0,1,0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022,340422,1,0,1,2004.0,,2004.0,7.178993013731631,10.346344779861354,31143.0,8.63994422039987,7.2397506356079875,0.2465492311399843,0.7534507688600157,5653.014492753623,1393.7463768115942,23.787505141643873,28.284101171390564,47.92839368696556,4.927253685157205,30.017426757788073,0,0,0,中部,0,1,0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023,340422,1,0,1,2004.0,,2004.0,,,,8.64620951513609,7.274815959043151,0.253753093874161,0.746246906125839,5688.54347826087,1443.4855072463768,21.843508070317508,29.360770228511036,48.79572170117146,4.927253685157205,28.738926171302552,0,0,0,中部,0,1,0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2000,340521,0,0,0,2004.0,,2004.0,,8.258163361537619,3859.0,5.434764281024663,5.151478200796756,0.7533042515788788,0.24669574842112119,229.23880597014926,172.6865671641791,43.54775828460039,24.249512670565302,32.202729044834314,4.204692619390966,5.987914230019493,1,1,0,中部,0,1,0,-4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,340521,0,0,0,2004.0,,2004.0,5.649131899455818,8.313116702819253,4077.0,5.5957689977341944,5.19692314265404,0.6710941391333223,0.3289058608666777,269.2846497764531,180.71535022354695,41.95318215069495,24.83540599853694,33.21141185076811,4.206184043977636,6.608997805413313,1,1,0,中部,0,1,0,-3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,340521,0,0,0,2004.0,,2004.0,9.369634535197449,8.402679804627477,4459.0,5.8488945613892,5.2307893065621,0.5389646714574637,0.46103532854253626,346.85074626865674,186.9402985074627,39.531772575250834,26.48829431438127,33.979933110367895,4.204692619390966,7.772240802675586,1,1,0,中部,0,1,0,-2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2003,340521,0,0,0,2004.0,,2004.0,18.16550796142633,8.569595870209286,5269.0,6.223309949472032,5.617904526817947,0.5458530805687204,0.4541469194312796,504.36991110779115,275.31186972435944,34.79739302918674,32.16208557665061,33.04052139416265,4.203721999237861,9.566449419098895,1,1,0,中部,0,1,0,-1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2004,340521,1,0,1,2004.0,,2004.0,30.100588346934902,8.832733591996416,6855.0,6.450577276765332,5.761195289768724,0.5018861454046639,0.4981138545953361,633.0676425890891,317.7278789194554,34.1623332579697,35.790187655437485,30.04747908659281,4.1664481459784755,9.229934433642324,1,1,0,中部,0,1,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2005,340521,1,0,1,2004.0,,2004.0,31.436907366885485,9.106090350602384,9010.0,6.6850910881175,6.069444455408744,0.540291412228492,0.459708587771508,800.3835802889225,432.4403749187985,26.50395324853902,40.20281883808869,33.29322791337229,4.169049974920293,8.894465452045376,1,1,0,中部,0,1,0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2006,340521,1,0,1,2004.0,,2004.0,24.1842397336293,9.322686431807721,11189.0,7.106085507193255,6.428001709379912,0.5075887036544766,0.4924112963455234,1219.364996064025,618.9358976337844,23.134225410401434,46.55814595116568,30.307628638432888,4.171104965947939,10.89791695406263,1,1,0,中部,0,1,0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2007,340521,1,0,1,2004.0,,2004.0,24.166592188756812,9.539140395148861,13893.0,7.427222890165186,6.834326342718384,0.5527239726090185,0.4472760273909815,1681.132395321241,929.2021760236712,21.36439267886855,49.99445368829728,28.641153632834165,4.172678117819308,12.1006100942873,1,1,0,中部,0,1,0,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2008,340521,1,0,1,2004.0,,2004.0,38.3862376736486,9.864018808625762,19226.0,7.614474546511284,7.080128299185819,0.5860522981922456,0.4139477018077544,2027.329211651441,1188.1209436806005,17.246620270378372,58.81129509639229,23.942084633229342,4.174725674168913,10.544836413086953,1,1,0,中部,0,1,0,4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2009,340521,1,0,1,2004.0,,2004.0,19.452824300426506,10.041770140336135,22966.0,7.8682945326933975,7.254115193359417,0.5410847601328278,0.4589152398671722,2613.105220240934,1413.911411295906,15.229480737018426,61.45393634840871,23.32328308207705,4.174341114984362,11.379832495812394,1,1,0,中部,0,1,0,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,340521,1,0,1,2004.0,,2004.0,26.66115126709048,10.278115374824123,29089.0,8.058892589277118,7.473888876388847,0.5571037933441936,0.4428962066558064,3161.7867982953676,1761.443419075942,13.27807401932316,65.97856501768649,20.743360962990337,4.177980805405767,10.889393379441422,1,1,0,中部,0,1,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011,340521,1,0,1,2004.0,,2004.0,30.179793048918835,10.541861707248781,37868.0,8.525210136986482,7.918701595155061,0.5452512715620925,0.4547487284379075,5040.2458366375895,2748.200451412188,11.656639883716235,70.13768320749384,18.205676908789922,4.18314877556421,13.344329147656156,1,1,0,中部,0,1,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012,340521,1,0,1,2004.0,,2004.0,19.81884440688708,10.72267249346074,45373.0,8.739249148684294,8.310042011337833,0.6510250636095107,0.34897493639048927,6243.206232311859,4064.4837345181218,10.991982099571135,70.78594070482939,18.22207719559948,4.185433724842355,19.127167630057805,1,1,0,中部,0,1,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013,340521,1,0,1,2004.0,,2004.0,13.327309192691688,10.84778248081988,51420.0,9.11092529384684,8.738577780850258,0.6891147245859053,0.3108852754140947,9053.668320489813,6239.016151166473,10.448496796451453,71.43091835058321,18.124691966485955,3.857883559327498,17.612411697059308,1,1,0,中部,0,1,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,340521,1,0,1,2004.0,,2004.0,8.640606767794633,10.930657543749872,55863.0,9.06054868606692,8.960456057325718,0.9047536079666062,0.0952463920333938,8608.872927009612,7788.908841237984,10.460852141695966,71.23360175418699,18.305546104117045,3.8572499795808546,15.405882575327965,1,1,0,中部,0,1,0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,340521,1,0,1,2004.0,,2004.0,2.3682938617689704,10.95406439216568,57186.0,9.063242665662457,9.015892628648539,0.953753490130095,0.04624650986990497,8632.096322647189,8232.891994863914,9.687292573198613,69.26764510657128,21.045062320230105,3.860877068603989,15.122243528283796,1,1,0,中部,0,1,0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,340521,1,0,1,2004.0,,2004.0,9.301227573182247,11.043001832524663,62505.0,9.181657346600593,9.072598127767305,0.8966773157414653,0.10332268425853475,9717.244276412519,8713.232514177695,9.352082352149633,64.17277803942677,26.475139608423603,3.8630428232064276,15.563412500841014,1,1,0,中部,0,1,0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
