county_code,D2,D1,reform_pivot,gdp_growth_outcome,ln_gdppc_outcome,fiscal_autonomy_pre,primary_ratio_pre,secondary_ratio_pre,ln_pop_pre,gov_scale_pre,region_val
371482,0,0,2007,14.810196,10.13242,.56501395,18.011251,51.905674,3.9318256,5.6253638,1
371521,1,0,2016,,,.40004459,14.538717,56.484646,4.3903084,9.9451532,1
371522,1,0,2009,,9.7076759,.26148638,25.086788,48.070492,4.5954189,6.0986652,1
371524,1,0,2016,,,.58984303,10.622638,53.408661,3.6888795,10.267747,1
371525,1,0,2009,,9.8353996,.26726502,24.330997,51.113663,4.3306756,6.4808736,1
371526,1,0,2019,,,.53516626,8.5035248,63.9702,3.9350972,6.9376168,1
371581,1,0,2019,,,.55169839,6.6550655,56.002876,4.4188333,8.1849918,1
371621,1,0,2009,,9.7276344,.27118605,18.391478,54.221367,4.1457696,6.5818176,1
371622,1,0,2009,,9.846446,.30119249,19.521441,56.813492,3.7894509,7.7933402,1
371623,1,0,2016,,,.5967797,14.449356,51.631542,3.8499966,12.06264,1
371625,0,0,2007,17.254683,10.420917,.72654694,12.448903,59.972,3.8641832,6.7515917,1
371681,0,0,2007,17.789089,11.015617,.7568357,8.4394779,72.233429,4.2673421,6.008831,1
371721,1,0,2009,,9.0212727,.36201867,30.213617,47.614384,5.0166068,13.092907,1
371722,1,0,2016,,,.45249671,14.241368,51.439999,4.8147955,13.962077,1
371723,1,0,2019,,,.3039307,13.006702,52.408104,4.2891145,10.056377,1
371724,1,0,2019,,,.56417567,10.416031,52.59898,4.6938343,13.749028,1
371725,1,0,2016,,,.52945769,12.177727,55.144009,4.8308845,14.078552,1
371726,1,0,2009,,9.0761471,.31966114,34.557804,39.73204,4.4050593,13.670291,1
371728,1,0,2019,,,.40660059,8.5476236,58.836739,4.4645739,14.911633,1
410122,1,0,2007,22.305767,10.399105,.44424933,26.045387,45.637527,4.2252259,5.9236794,2
410181,1,1,2014,6.5123591,11.336251,.67536771,1.9046354,71.176552,4.4032125,7.3369813,2
410182,0,1,2007,17.57588,10.891119,.73042446,8.3855333,62.261711,4.0882702,4.7289195,2
410183,0,1,2007,18.079575,10.738178,.7147857,3.4660709,66.787354,4.3650155,4.7835336,2
410184,0,1,2007,14.6203,10.863812,.74636412,6.1714659,64.458267,4.1300845,4.3506455,2
410185,0,1,2007,22.625175,10.646604,.82178414,5.5184379,69.50177,4.158627,7.3431201,2
410221,0,0,2007,17.354107,9.484025,.25419259,48.739738,32.553162,4.6454067,6.5085831,2
410222,0,0,2007,20.587158,9.7512045,.27083138,41.247845,32.545414,4.087647,5.9880528,2
410223,0,1,2007,16.7999,9.9256182,.35782096,28.685591,51.735874,4.453486,6.3595042,2
410225,1,1,2014,10.226619,10.601015,.28594998,19.018505,47.31522,4.4215593,14.165037,2
410322,0,0,2007,22.746519,10.074083,.51157176,19.59697,52.642879,3.8113122,8.2435265,2
410323,0,1,2007,18.074173,10.75683,.62740982,8.6493101,76.045006,3.8995385,6.1506348,2
410324,0,0,2007,20.196762,10.582357,.73665404,12.977429,70.00563,3.4782486,9.3369837,2
410325,0,0,2007,22.109535,9.8163605,.29929864,31.778685,37.084843,3.9954994,10.645477,2
410326,0,0,2007,22.039877,9.7108994,.33178791,25.92844,43.971313,3.7476916,11.395791,2
410327,1,0,2009,15.691713,10.097405,.35791224,24.295393,43.21645,4.1910615,9.749651,2
410328,0,0,2007,25.003971,9.8544693,.2950463,34.492054,31.26877,3.7987697,10.792081,2
410329,0,1,2007,13.695606,10.296905,.71693623,12.230327,70.176147,4.3098812,5.8162336,2
410381,0,1,2007,18.853184,10.685555,.71307099,9.4115486,65.425919,4.4281421,3.9682798,2
410421,0,0,2007,21.816765,10.235463,.56853414,11.696053,55.959282,3.8853724,5.1019845,2
410422,0,0,2007,20.437605,9.5514441,.31429458,32.112293,41.327366,4.4574285,7.931366,2
410423,0,0,2007,17.103706,9.0410223,.296343,25.424927,38.43605,4.4357514,13.671517,2
410425,1,0,2009,10.440193,9.8670712,.34074074,20.078243,55.20108,4.020268,9.8080673,2
410481,0,1,2007,14.026539,10.400471,.682495,9.581687,67.023193,3.4665344,10.474418,2
410482,1,1,2014,6.5934458,10.656939,.48425981,11.391916,56.278019,4.6640301,9.1890974,2
410522,0,1,2007,24.235838,10.176483,.62146276,14.244528,60.12059,4.52702,7.1890392,2
