county_code,D2,ln_gdppc_outcome,cate_lngdp,cate_lower,cate_upper,fiscal_autonomy_pre
130626,1.0,9.319521,0.15745572820259213,0.03289561991118811,0.2820158364939961,0.20741688
130627,1.0,9.0662394,0.14105627601059822,0.0020528435235783737,0.2800597084976181,0.10623185
130628,1.0,9.970726,-0.05975039726229525,-0.24000204723305804,0.12050125270846751,0.31061965
130629,1.0,9.7325134,0.051922650726652364,-0.06346447883946701,0.16730978029277171,0.28632939
130631,1.0,9.4142094,0.06526185583815192,-0.016290466146741442,0.14681417782304526,0.20014112
130632,0.0,9.2391386,0.096856019437638,0.002880003797677888,0.19083203507759808,0.32792524
130633,1.0,9.3919954,0.1674905365908046,0.057458195588165784,0.2775228775934434,0.15952711
130634,1.0,9.0428677,0.10058902880102494,-0.010273348996931081,0.21145140659898093,0.16104306
130635,1.0,9.3101902,0.11995395794539832,0.01117733837429287,0.22873057751650372,0.21803848
130636,1.0,9.3276787,0.07109455345742433,-0.05446562191502319,0.1966547288298718,0.15218122
130637,1.0,9.4076328,0.13318029103120566,0.056203743616844895,0.2101568384455664,0.15889333
130638,1.0,9.5972157,0.05685096054281402,-0.03933420301361383,0.15303612409924183,0.29996726
130681,1.0,10.134245,-0.47195983176791145,-0.668967918611879,-0.27495174492394403,0.58805758
130682,1.0,9.5386515,0.13518048098552526,0.01420199834955127,0.25615896362149926,0.31922224
130683,1.0,9.7059402,0.09082839135594867,-0.07148668046538145,0.25314346317727876,0.31124079
130684,1.0,9.6356134,-0.005940687584509163,-0.1502362802571666,0.13835490508814824,0.36244661
130722,1.0,9.6694365,0.19804533610830788,0.08340299134403954,0.3126876808725762,0.19524302
130723,1.0,9.4429588,0.2020097475571241,0.05456838818966317,0.349451106924585,0.079182968
130724,1.0,9.4796038,0.19968108936229712,0.07243188319535199,0.32693029552924224,0.091223873
130725,1.0,9.5629673,0.1785655769635177,0.008847675628594343,0.34828347829844103,0.099964879
130726,1.0,9.5492382,0.22559560498914166,0.10282998037888727,0.348361229599396,0.24083479
130727,1.0,9.737669,0.22071200991886641,0.08701224888691006,0.35441177095082277,0.21257342
