county_code,D2,cate,cate_lower,cate_upper
141025,0,-0.05376119574640184,-0.11339143185361375,0.005869040360810054
141026,0,-0.03648409971542704,-0.10234311480832974,0.029374915377475636
141027,0,-0.030663216540575466,-0.06807946942062712,0.00675303633947618
141028,1,-0.06225967560463258,-0.15428721164926132,0.02976786043999613
141029,0,-0.04413593563631321,-0.09262827086887065,0.004356399596244218
141030,1,-0.055681448437411296,-0.12142576680948917,0.010062869934666568
141031,1,-0.035032203006971574,-0.07044752840982277,0.0003831223958796204
141032,1,0.00872532076789967,-0.040028537284761224,0.05747917882056055
141033,0,-0.053200997600407085,-0.11117058106112858,0.004768585860314395
141034,1,-0.0589774301258178,-0.11858147800771317,0.0006266177560775577
141081,1,-0.0466021451621047,-0.08671333834178231,-0.006490951982427107
141082,0,-0.04965737849328691,-0.09018167359325707,-0.009133083393316761
141121,0,-0.02039899556856145,-0.0384170995743198,-0.0023808915628031023
141122,0,-0.05084836141730051,-0.10488511374279691,0.0031883909081958928
141123,1,-0.04574000807514217,-0.1085875489927093,0.017107532842424944
141124,1,-0.04394385996177669,-0.09755370484695158,0.0096659849233982
141125,0,-0.0536199137863454,-0.09172492131792384,-0.015514906254766966
141126,1,-0.029798264727679824,-0.06627725835114316,0.0066807288957835
141127,1,-0.057477329671427935,-0.13817184915412187,0.02321718981126597
141128,1,-0.09212213893404769,-0.21508617191843943,0.03084189405034403
141129,1,-0.04409156102484035,-0.10110189019177507,0.01291876814209434
141130,0,-0.04893946953553238,-0.10897855587948949,0.011099616808424709
141181,1,-0.049205736929994165,-0.09318738715098365,-0.005224086709004677
141182,0,-0.016760046855898325,-0.04342794559901016,0.009907851887213506
220122,1,-0.022586260017751214,-0.03981891549496446,-0.00535360454053797
220182,1,-0.024145576401335855,-0.0424221210905065,-0.005869031712165216
220183,1,-0.02358982749715005,-0.04650101016846487,-0.0006786448258352361
220221,1,-0.022699000795569635,-0.033100871116631465,-0.01229713047450781
220281,1,-0.022506998489324304,-0.029288786271032683,-0.015725210707615928
220282,1,-0.01964360368145035,-0.02973749830332431,-0.00954970905957639
220283,1,-0.03127763279176776,-0.051123127127884666,-0.011432138455650866
220284,1,-0.018551419533432145,-0.03380085549640101,-0.0033019835704632856
220322,1,-0.015366617916035108,-0.03677397691630316,0.006040741084232939
220323,0,-0.017022579808248617,-0.035876613750123076,0.0018314541336258428
220381,1,-0.019471350676357413,-0.04226432882382418,0.0033216274711093466
220382,1,-0.010060283075690957,-0.022392459071776723,0.0022718929203948083
220421,1,-0.034179221627364365,-0.0511081408464063,-0.017250302408322434
220422,1,-0.009370616606236282,-0.029880636050121555,0.011139402837648988
220521,1,-0.0047355777870969895,-0.03122758823901717,0.021756432664823185
220523,1,-0.01439609306023698,-0.03671362633547588,0.007921440215001917
220524,1,-0.013365437366628763,-0.025105378557095707,-0.00162549617616182
220581,1,-0.01935107862883617,-0.034350583613939216,-0.004351573643733132
220582,1,-0.030958806299861696,-0.049374334551857024,-0.012543278047866369
220621,1,-0.033759223245324765,-0.05050458524270389,-0.017013861247945645
220622,1,-0.013176936266690253,-0.03580600394919997,0.009452131415819458
220623,0,-0.02096221043951313,-0.04063191716076475,-0.0012925037182615097
220681,1,-0.021497497819715217,-0.035948036175009294,-0.007046959464421142
220721,0,-0.014496656607217218,-0.03208862937179553,0.00309531615736109
220722,1,-0.010827693769294933,-0.03763615858783495,0.01598077104924508
220723,1,-0.009220558408695623,-0.031198117175417494,0.012757000358026242
220781,1,-0.006308274729479479,-0.026075084002726366,0.013458534543767404
220821,1,-0.016566462813265126,-0.03540256285276577,0.0022696372262355144
220822,1,-0.01386806330243312,-0.02663154218905294,-0.0011045844158133027
220881,1,-0.013702990813967086,-0.03287672828356934,0.005470746655635163
220882,1,-0.040515330497906565,-0.05613619832970124,-0.024894462666111894
222401,1,-0.04701633987249776,-0.09383801801676664,-0.00019466172822888567
222402,1,-0.055791225141751444,-0.09548723965926047,-0.016095210624242427
222403,1,-0.02606851956497297,-0.04680809738155574,-0.005328941748390204
222404,1,-0.043559888303325967,-0.07499240021007697,-0.012127376396574963
222405,1,-0.04284590552362022,-0.0767109255730709,-0.008980885474169552
222406,1,-0.019803369595524256,-0.046282454778968245,0.0066757155879197255
222424,1,-0.018478200453702465,-0.036505480964142925,-0.0004509199432620112
222426,1,-0.02070899128356768,-0.046766392904893664,0.005348410337758298
230123,1,-0.020873741336597196,-0.03577136869057354,-0.005976113982620851
230124,1,-0.011197066244512499,-0.024083326921609416,0.0016891944325844177
230125,1,-0.02663165169852394,-0.04522905302094999,-0.008034250376097892
230126,1,-0.015019904606852374,-0.0368880219492547,0.00684821273554995
230127,1,-0.020881513538366148,-0.035523404631122225,-0.006239622445610072
230128,1,-0.019028572418236134,-0.03135719348150909,-0.006699951354963183
230129,1,-0.026309806517403722,-0.039468003922943744,-0.013151609111863704
230183,0,-0.012761166109270194,-0.02961580596866534,0.0040934737501249485
230184,0,-0.02647005920882939,-0.04317274622616404,-0.009767372191494744
230221,1,-0.018783657480827776,-0.03246958198652837,-0.005097732975127183
230223,1,-0.012772254842742192,-0.03363289449534901,0.008088384809864613
230224,1,-0.009223111394465633,-0.030420573209798314,0.011974350420867044
230225,1,-0.009947806285644956,-0.022568706460125335,0.0026730938888354233
230227,1,-0.012965549936171938,-0.032634811176357414,0.006703711304013534
230229,1,-0.021093491374669926,-0.030350524397704276,-0.011836458351635578
230230,1,-0.0225038842467436,-0.04871913169304236,0.0037113631995551524
230231,1,-0.021070944782237033,-0.03495427206569103,-0.007187617498783038
230281,0,-0.027484262545001747,-0.04870811943341797,-0.006260405656585533
230321,1,-0.016032014979643572,-0.03322515297392631,0.001161123014639158
230381,0,-0.03089001877707037,-0.04896523188892279,-0.012814805665217963
230382,1,-0.012389332532909136,-0.025666812705660014,0.0008881476398417375
230421,1,-0.00470953561209192,-0.018263763686954718,0.008844692462770877
230422,1,-0.003679267049256807,-0.018807702778990985,0.01144916868047737
230521,1,-0.008784285179205986,-0.033477670020885045,0.015909099662473072
230522,1,-0.01636812998255338,-0.027214385566413674,-0.00552187439869309
230523,1,-0.008995941983607036,-0.03162223227012673,0.013630348302912647
230524,1,2.3640363627563943e-05,-0.0161025132217396,0.016149793948994726
230621,1,-0.006414758447615798,-0.03989440048616011,0.027064883590928505
230622,1,-0.027679465367959843,-0.06699114282362562,0.011632212087705922
230623,1,-0.013603009495782137,-0.03305775203052402,0.005851733038959736
230624,0,-0.025871901053154733,-0.058728563795742206,0.006984761689432732
230722,1,-0.015358376668851481,-0.02880280147761491,-0.0019139518600880551
230781,1,-0.015974561411078614,-0.03802952553118482,0.006080402709027589
230822,1,-0.01647361857362617,-0.0293828609925429,-0.003564376154709444
230826,1,-0.006846978107791946,-0.027947824336411277,0.014253868120827379
230828,1,-0.009375674073124174,-0.025567728151658777,0.006816380005410426
230881,1,-0.0019199062668109335,-0.015143442445574001,0.011303629911952131
230882,1,-0.004633645493062055,-0.021910309007859126,0.012643018021735012
230883,0,-3.1697204891212305e-05,-0.01350565356642681,0.013442259156644381
230921,1,-0.014449781278497387,-0.036546380690398554,0.007646818133403774
231025,1,-0.022882366860664916,-0.043702133311022344,-0.0020626004103074906
231081,0,-0.046269877614060984,-0.08014278959195306,-0.012396965636168912
231083,1,-0.006256224655027953,-0.021470248391064664,0.008957799081008754
231084,0,-0.04161638127706496,-0.05880193555706216,-0.02443082699706777
231085,1,-0.007462219029693518,-0.03603568692918306,0.021111248869796016
231086,0,-0.02007854664533465,-0.03691221831756131,-0.0032448749731079918
231123,1,-0.0046866146644284346,-0.025865087502382225,0.016491858173525352
231124,1,-0.002139758630332944,-0.031713356383816886,0.02743383912315099
231181,1,-0.01843369997057115,-0.030119166023910852,-0.006748233917231448
231182,1,-0.00604952335792186,-0.02178408366119787,0.009685036945354143
231183,0,-0.009035804564159589,-0.02829196160334257,0.01022035247502339
231221,1,-0.01094521553445027,-0.030704853094172115,0.008814422025271572
231222,1,-0.010459946644846008,-0.03360783276072429,0.012687939471032268
231223,1,-0.016417859812782265,-0.030827838996429865,-0.0020078806291346663
231224,1,-0.018538038315969507,-0.03537731360936827,-0.0016987630225707498
231225,1,-0.025030393385733096,-0.04119080500722047,-0.008869981764245728
231226,1,-0.006220419572444569,-0.024816528768814548,0.012375689623925407
231281,0,-0.027564109789245783,-0.047521422293874106,-0.0076067972846174635
231282,0,-0.01792866472535648,-0.03968661003038095,0.003829280579667988
231283,1,-0.022951589817761353,-0.04405905883081916,-0.001844120804703548
232701,0,-0.03083788298369189,-0.05457336566906028,-0.007102400298323503
232721,0,-0.010713195509916895,-0.03015636292261922,0.008729971902785426
232722,0,-0.016678980849056613,-0.029796119258608297,-0.0035618424395049333
320281,1,-0.024295033852981707,-0.05359850357310775,0.005008435867144327
320282,1,-0.030342393120140476,-0.054697141264437636,-0.00598764497584332
320321,1,-0.009963639575888972,-0.04024209342237976,0.020314814270601816
320322,1,0.011517879491936056,-0.0106956718092144,0.033731430793086506
320324,1,-0.011289627552817594,-0.04660355785695291,0.024024302751317707
320381,1,0.005565738641644502,-0.018050992178854613,0.02918246946214361
320382,1,0.0039024684839716883,-0.02381085212627772,0.031615789094221095
320481,1,-0.012397042256399704,-0.04756145984722255,0.022767375334423134
320581,1,-0.028493389017283488,-0.0529477509930294,-0.004039027041537583
320582,1,-0.0268823813191732,-0.06148453353313389,0.007719770894787488
320583,1,-0.04039652567133528,-0.07916810532061086,-0.0016249460220597034
320585,1,-0.03617600864114087,-0.06563656288037495,-0.006715454401906806
320623,1,0.0122077649766692,-0.005129499161782413,0.02954502911512081
320681,1,-0.012970654447300223,-0.044065965501221147,0.018124656606620694
320682,1,0.014837518964948615,-0.006367237414699085,0.03604227534459631
320684,1,-0.027905580534016483,-0.05919116175712419,0.0033800006890912157
320685,0,-0.007862654092949839,-0.02890952288579729,0.013184214699897608
320722,1,-0.00033654169840724446,-0.02905016244912851,0.028377079052314014
320723,1,-0.017113560629935964,-0.048078610097190624,0.013851488837318685
320724,1,-0.0026909136524121413,-0.02744593250857491,0.022064105203750625
320826,1,-0.012623225163373664,-0.04691667751065574,0.021670227183908403
320830,1,0.006876594338967423,-0.023537784966007426,0.037290973643942266
320831,1,-0.015802922181772316,-0.038201541483643436,0.0065956971200988
320921,1,-0.0032783399260297164,-0.021092311907546218,0.014535632055486782
320922,1,0.005467280086260462,-0.015015105297408335,0.025949665469929255
320923,1,0.007648280997833601,-0.017070164916666644,0.032366726912333846
320924,1,-0.002841630046809762,-0.023366493335247058,0.01768323324162753
320925,1,0.010057929981871938,-0.011881979210032503,0.031997839173776375
320981,1,-0.0027945558797305425,-0.02541100970586093,0.01982189794639984
321023,1,0.010622071460189508,-0.016049013143986084,0.03729315606436509
321081,1,-0.027488653477793445,-0.06729094767979803,0.012313640724211122
321084,1,0.0034182532314711578,-0.0198387252924009,0.026675231755343212
321181,1,-0.03550013323209292,-0.058456397497309256,-0.012543868966876585
321182,1,-0.05220123008048108,-0.07287511409554634,-0.03152734606541582
321183,1,-0.018634216349942334,-0.03720396180087883,-6.447089900584596e-05
321281,1,0.011342413835340293,-0.017795600531031165,0.04048042820171174
321282,1,-0.01690343818208387,-0.05669178900267747,0.022884912638509725
321283,1,-0.0028253717090709896,-0.02476553949471255,0.019114796076570566
321322,1,0.002091215458973783,-0.024996130301920147,0.029178561219867706
321323,1,-0.0024513295088202103,-0.028452199934013832,0.023549540916373405
321324,1,-0.006784883121757124,-0.034410372416368726,0.02084060617285447
330122,0,-0.0367339817806929,-0.05859089494514223,-0.014877068616243567
330127,0,-0.014626071712199429,-0.032533180011762086,0.0032810365873632216
330182,0,-0.029295288560501842,-0.04531928132122121,-0.013271295799782475
330225,0,-0.019704001186295506,-0.03484631959846217,-0.004561682774128849
330226,0,-0.012817614041659875,-0.03514482086775754,0.00950959278443778
330281,0,-0.014447705704460218,-0.045342597721166326,0.016447186312245884
330282,0,-0.0182211405708729,-0.04569935178131835,0.00925707063957254
330324,0,-0.02020739075657957,-0.0520842972611811,0.011669515748021955
