year,county_code,D1,D2,gdp_growth_pc,ln_fiscal_exp_pc,fiscal_autonomy,primary_ratio,secondary_ratio,ln_pop,gov_scale,region,gdp_growth_pc_w,D2_w,D1_w,fiscal_autonomy_w,ln_fiscal_exp_pc_w,primary_ratio_w,secondary_ratio_w,ln_pop_w,gov_scale_w
2015,513338,0,0,6.559565457558461,10.34231221361336,0.053367435762415,29.52592710235845,34.65893750496307,1.09861228866811,147.7852775351386,西部,-0.921289414552275,-0.12630611520467772,-0.08873822186305878,0.011291131906544655,-0.04704790299744039,4.704184611280477,3.5856819720485293,0.11923895633406172,23.211363546266583
2016,513338,0,0,9.192621711521015,10.297655756902,0.0579060333299621,28.58301669299407,36.05145939176593,1.09861228866811,126.6404815779362,西部,-0.651716646475471,-0.12630611520467772,-0.09450191062386569,0.023466106122087695,-0.16002875186862267,4.2371499758016915,6.148918289659986,0.11532943720306073,2.4299861915531804
2017,513338,0,0,14.22241563476678,10.40580710200818,0.0444565469526893,25.40407762220585,41.02677474821911,1.09861228866811,121.7796610169491,西部,4.93114025874932,-0.1385409142787465,-0.10139729474621721,0.010267795126934045,-0.12642251100299778,2.396572730747331,12.102283785570668,0.11188504545555661,-3.012099330860977
2018,513338,0,0,12.48268218343031,10.68073457958168,0.0422151126003689,23.35258727056331,45.10771649760327,0.9474017268992078,122.5238308419685,西部,1.5485650960075055,-0.13858717763568912,-0.10196917324551685,0.036676628587978176,0.0525962993475365,0.8288147248790422,16.867004086489388,-0.04040331442487737,-3.9245344249818808
2019,513338,0,0,12.89875600443404,10.96224361069721,0.0337449780246448,19.51678281560064,22.49809553367379,0.9450725332996072,139.5179113882384,西部,0.6563285573961584,-0.13858717763568912,-0.10196917324551685,0.018774241746724336,0.25169000307391165,-3.2398692601063215,-1.7180833042925605,-0.042271129026565116,14.611601362017094
2020,513338,0,0,20.34092458748125,10.64701403570161,0.0511184778672312,21.29680629170467,24.65394721397033,0.9400072584914712,97.23880125328446,西部,5.870437282353554,-0.13843987351559484,-0.10232945903528551,0.06203903023180357,-0.09840242131096996,-2.819423041293641,1.3768771772859596,-0.04667345500322357,-27.011008553715975
2021,513338,0,0,1.384765315141763,10.71345149008975,0.0510407487573468,18.9169855860367,22.27994563467935,0.9555114450274363,104.5164347794986,西部,-14.031777875690384,-0.1547105285318244,-0.09576916794266811,0.017768302607228587,0.018938882385867672,-4.946351705358614,-1.9238854879833767,-0.028970827183358396,-14.847697815351271
2022,513338,0,0,2.825591272857335,10.55005836666716,0.0468224796794105,16.57324462604991,24.66079941327466,1.09861228866811,100.0043655159167,西部,-6.016940089699902,-0.1622244291204962,-0.09381545318781648,0.022195806823583582,-0.21327653061392676,-7.382894207063119,0.13917307873525625,0.11543824269745283,-19.501524588516965
2001,513401,0,0,12.77102062400846,6.681565949088319,0.5806567378431724,19.23773962551352,34.44594418444279,4.023564380161053,9.373515152279674,西部,8.37093141316256,0.33162168873640896,0.2139831243522171,-0.11539779493046491,0.27344270998322584,-3.4181590190782365,-3.707545296441517,-0.07680811086353911,7.910234089067716
2002,513401,0,0,8.722157092614303,6.693055765327622,0.5415196270640004,18.24540883315846,34.54789739943773,4.041295341132285,8.773529192539462,西部,0.6209097291425683,0.2787370733517936,0.2024446628137556,-0.08651988414914262,0.11509632118425822,-3.5106665792955676,-4.192724908340345,-0.06221780139169683,6.892701329555257
