year,county_code,D1,D2,gdp_growth_pc,ln_fiscal_exp_pc,fiscal_autonomy,primary_ratio,secondary_ratio,ln_pop,gov_scale,region
2015,530827,0,0,10.81063383970665,9.222914827250605,.1088761441756238,39.88954970263381,20.22090059473237,2.564949357461537,55.92395921835174,西部
2016,530827,0,0,10.09868226673758,9.361944956108077,.1004818847046225,38.2725527831094,20.0383877159309,2.564949357461537,58.07332053742802,西部
2017,530827,0,0,9.45148132245599,9.511236673734006,.0952066454489037,37.2957942301008,20.78554049356969,2.564949357461537,61.04935696906499,西部
2018,530827,0,0,41.0582062472417,9.473358540331429,.0943123121370415,37.16509965167744,21.35669015006679,2.578017443016909,56.09007935468664,西部
2019,530827,0,0,11.66655078912605,9.446828517467456,.0843170219869318,31.28677472449614,13.31443956355392,2.58331807635762,36.56729270446147,西部
2020,530827,0,0,11.06406823983563,9.585463337344716,.08790453450753,33.40938293392779,12.28946064771813,2.587538445874569,37.44310793237972,西部
2021,530827,0,0,11.41103262697612,9.797282904591937,.088249065627639,32.49727524979071,14.20310051125265,2.587764035227708,41.980985543467,西部
2022,530827,0,0,3.497119279442474,9.629232876475289,.1200590985447995,30.82820929387652,15.0199477656446,2.564949357461537,33.86938669189271,西部
2001,530828,0,0,9.395424836601308,6.256042079553477,.1614733241563426,47.58842443729904,14.79099678456592,3.828641396489095,38.54180064308682,西部
2002,530828,0,0,16.20612397311426,6.218319152652422,.1628560480265679,43.54838709677419,16.71554252199413,3.845883202923601,34.43841642228739,西部
2003,530828,0,0,15.3598971722365,6.288886268857322,.1754898862199747,41.41414141414141,22.22222222222222,3.850147601710058,31.95959595959596,西部
2004,530828,0,0,39.33147632311978,6.408318456626977,.1332608771868317,38.85869565217391,29.2572463768116,3.850147601710058,25.83605072463768,西部
2005,530828,0,0,8.916433426629348,6.665391743102502,.1201518490005044,40.015479876161,27.01238390092879,3.871201010907891,29.15557275541796,西部
2006,530828,0,0,13.91336270190896,6.899807109132963,.1232255354892902,36.33419689119171,32.44818652849741,3.871201010907891,30.8419689119171,西部
2007,530828,0,0,14.14759909764744,7.254105679201657,.1219526277045655,36.9971671388102,28.44192634560907,3.891820298110626,39.25269121813031,西部
2008,530828,0,0,16.5725578769057,7.5203332975263,.1158065648586976,35.12857836001941,32.99369238233866,3.899950424193877,44.22707423580786,西部
2009,530828,0,0,15.37902639864374,7.866085823534902,.0948015985640538,33.66960907944515,31.52585119798235,3.912023005428146,54.79907524169819,西部
2010,530828,0,0,15.09235936188077,8.181634822804709,.1265014843571592,32.37918215613383,30.78066914498142,3.891820298110626,65.11524163568774,西部
2011,530828,0,0,28.67043589275944,8.445108402016581,.1335608929853448,32.57684573398449,35.19103705831657,3.912023005428146,66.82361390405056,西部
2012,530828,0,0,13.56484762579731,8.53039368032343,.1435287894458436,33.29972271237711,35.54323166120493,3.912023005428146,63.85732291404084,西部
2013,530828,0,0,20.36944583125312,8.688905333542328,.1468834432713234,31.13897596656217,39.51933124346917,3.912023005428146,62.03427377220481,西部
2014,530828,0,0,11.42679386146827,8.680141628662353,.1572096627288917,29.78285286409584,37.88843129913889,3.912023005428146,55.08124298015724,西部
2015,530828,0,0,5.527638190954774,8.865135113280736,.14318751544681,28.94596988485385,37.28963684676705,3.871201010907891,60.20832595217006,西部
2016,530828,0,0,13.96825396825397,8.902083455778486,.1433158526287721,28.87443876761109,37.91608608143676,3.891820298110626,55.73865923517572,西部
2017,530828,0,0,12.03187867533271,9.127442230885958,.121316665853691,28.31724137931034,38.92413793103448,3.891820298110626,62.20937931034483,西部
