county_code,lon,lat,name,level
141032,110.631276,36.760614,永和县,district
141033,111.09733,36.411682,蒲县,district
141034,111.563021,36.653368,汾西县,district
141081,111.371272,35.620302,侯马市,district
141082,111.723103,36.57202,霍州市,district
141102,111.134462,37.524037,离石区,district
141121,112.032595,37.436314,文水县,district
141122,112.159154,37.555155,交城县,district
141123,111.124816,38.464136,兴县,district
141124,110.995963,37.960806,临县,district
141125,110.89613,37.431664,柳林县,district
141126,110.837119,36.999426,石楼县,district
141127,111.671555,38.278654,岚县,district
141128,111.238885,37.892632,方山县,district
141129,111.193319,37.342054,中阳县,district
141130,111.183188,36.983068,交口县,district
141181,111.781568,37.144474,孝义市,district
141182,111.785273,37.267742,汾阳市,district
210102,123.406664,41.788074,和平区,district
210103,123.445696,41.795591,沈河区,district
210104,123.469956,41.808503,大东区,district
210105,123.405677,41.822336,皇姑区,district
210106,123.350664,41.787808,铁西区,district
210111,123.341604,41.665904,苏家屯区,district
210112,123.458981,41.741946,浑南区,district
210113,123.521471,42.052312,沈北新区,district
210114,123.310829,41.795833,于洪区,district
210115,122.731269,41.512725,辽中区,district
210123,123.352703,42.741533,康平县,district
210124,123.416722,42.507045,法库县,district
210181,122.828868,41.996508,新民市,district
210202,121.64376,38.921553,中山区,district
210203,121.616112,38.914266,西岗区,district
210204,121.593702,38.912859,沙河口区,district
210211,121.582614,38.975148,甘井子区,district
210212,121.26713,38.812043,旅顺口区,district
210213,121.789413,39.052745,金州区,district
210214,121.9705,39.401555,普兰店区,district
210224,122.587824,39.272399,长海县,district
210281,122.002656,39.63065,瓦房店市,district
210283,122.970612,39.69829,庄河市,district
210302,122.994475,41.110344,铁东区,district
210303,122.971834,41.11069,铁西区,district
210304,123.024806,41.150622,立山区,district
210311,122.949298,41.068909,千山区,district
210321,122.429736,41.38686,台安县,district
210323,123.28833,40.281509,岫岩满族自治县,district
210381,122.752199,40.852533,海城市,district
210402,123.902858,41.86082,新抚区,district
210403,124.047219,41.866829,东洲区,district
210404,123.801509,41.851803,望花区,district
